,phrase,label,sentiment,subjectivity,language,count
Sal - verschiebt jetzt,Sal - verschiebt jetzt,PERSON,0.0,0.0,de,1.9
auch zu schweren Gewittern,auch zu schweren Gewittern,PERSON,0.0,0.0,de,1.9
Brandenburg gibt es,Brandenburg gibt es,PERSON,0.0,0.0,de,1.9
wohl nur,wohl nur,PERSON,0.0,0.0,de,1.9
Liebe Leser,Liebe Leser,PERSON,0.0,0.0,de,1.9
Regenzeit kommt es aber,Regenzeit kommt es aber,PERSON,0.0,0.0,de,1.9
eine Unwetterwarnung,eine Unwetterwarnung,PERSON,0.0,0.0,de,1.9
Anden Perus getötet,Anden Perus getötet,PERSON,0.0,0.0,de,1.9
Bei Radtour,Bei Radtour,PERSON,0.0,0.0,de,1.9
in­nen wollen einen Tarifvertrag durchsetzen,in­nen wollen einen Tarifvertrag durchsetzen,PERSON,0.0,0.0,de,1.9
Iberischen Halbinsel niedergegangen,Iberischen Halbinsel niedergegangen,PERSON,0.0,0.0,de,1.9
Sturm rüsten,Sturm rüsten,PERSON,0.0,0.0,de,1.9
Wirtschaftspolitik der Bundesregierung,Wirtschaftspolitik der Bundesregierung,PERSON,0.0,0.0,de,1.9
Abend könnte es laut,Abend könnte es laut,PERSON,0.0,0.0,de,1.9
Der Felsbogen,Der Felsbogen,PERSON,0.0,0.0,de,1.9
dass es,dass es,PERSON,0.0,0.0,de,1.9
andere das bekanntere Gesicht,andere das bekanntere Gesicht,PERSON,0.0,0.0,de,1.9
bessere Ausgangslage,bessere Ausgangslage,PERSON,0.0,0.0,de,1.9
schweren Buschbränden und Unwettern,schweren Buschbränden und Unwettern,PERSON,0.0,0.0,de,1.9
Während Winterwetter,Während Winterwetter,PERSON,0.0,0.0,de,1.9
Todd Phillips,Todd Phillips,PERSON,0.10526315789473685,0.10526315789473685,en,1.9
Joaquin Phoenix,Joaquin Phoenix,PERSON,0.10526315789473685,0.10526315789473685,en,1.9
Wegen Glatteis-Warnung,Wegen Glatteis-Warnung,PERSON,0.0,0.0,de,1.9
Port Pirie,Port Pirie,PERSON,-0.08187134502923979,0.152046783625731,en,1.9
Die Deutsche,Die Deutsche,PERSON,0.0,0.0,de,1.9
wurde nicht geladen,wurde nicht geladen,PERSON,0.0,0.0,de,1.9
Bo Naylor,Bo Naylor,PERSON,0.0,0.0,en,1.9
Präsident Brasiliens,Präsident Brasiliens,PERSON,0.0,0.0,de,1.9
Fátima Bosch,Fátima Bosch,PERSON,0.050877192982456146,0.24210526315789474,en,1.9
leichtem Aufwind,leichtem Aufwind,PERSON,0.0,0.0,de,1.9
Aaron Rodgers,Aaron Rodgers,PERSON,0.0,0.0,en,1.9
Disney Skyliner,Disney Skyliner,PERSON,0.05068226120857698,0.6276803118908383,en,1.9
Das Sturmtief könnte,Das Sturmtief könnte,PERSON,0.0,0.0,de,1.9
weiter erhöhte Alarmbereitschaft,weiter erhöhte Alarmbereitschaft,PERSON,0.0,0.0,de,1.9
Niederschlag erwartet,Niederschlag erwartet,PERSON,0.0,0.0,de,1.9
kommt das Stromnetz,kommt das Stromnetz,PERSON,0.0,0.0,de,1.9
Thüringer Skigebiete,Thüringer Skigebiete,PERSON,0.0,0.0,de,1.9
Landeshauptstadt von Baden-Württemberg,Landeshauptstadt von Baden-Württemberg,PERSON,0.0,0.0,de,1.9
erneute Unwetterwarnung,erneute Unwetterwarnung,PERSON,0.0,0.0,de,1.9
Rostocker Zoo bleibt,Rostocker Zoo bleibt,PERSON,0.0,0.0,de,1.9
prägnante Aussage,prägnante Aussage,PERSON,0.0,0.0,de,1.9
Händen sei,Händen sei,PERSON,0.0,0.0,de,1.9
das Erbe von,das Erbe von,PERSON,0.0,0.0,de,1.9
Menschen verletzt,Menschen verletzt,PERSON,0.0,0.0,de,1.9
Der Rostocker Zoo,Der Rostocker Zoo,PERSON,0.0,0.0,de,1.9
Montag wegen,Montag wegen,PERSON,0.0,0.0,de,1.9
heute Morgen,heute Morgen,PERSON,0.0,0.0,de,1.9
Denn der Weg von Windparks,Denn der Weg von Windparks,PERSON,0.0,0.0,de,1.9
das Stromnetz,das Stromnetz,PERSON,0.0,0.0,de,1.9
Faraglioni di,Faraglioni di,PERSON,0.0,0.0,de,1.9
das Stromnetz aufgebaut,das Stromnetz aufgebaut,PERSON,0.0,0.0,de,1.9
Demnach besteht,Demnach besteht,PERSON,0.0,0.0,de,1.9
Schaltfehler löst,Schaltfehler löst,PERSON,0.0,0.0,de,1.9
Plötzliche Glätte,Plötzliche Glätte,PERSON,0.0,0.0,de,1.9
mehrere schwer,mehrere schwer,PERSON,0.0,0.0,de,1.9
Manuel Hagel unausweichlich,Manuel Hagel unausweichlich,PERSON,0.0,0.0,de,1.9
Längeres Arbeiten,Längeres Arbeiten,PERSON,0.0,0.0,de,1.9
Gefährliche Straßen,Gefährliche Straßen,PERSON,0.0,0.0,de,1.9
ein beliebtes Fotomotiv,ein beliebtes Fotomotiv,PERSON,0.0,0.0,de,1.9
Närrisches Treiben,Närrisches Treiben,PERSON,0.0,0.0,de,1.9
